job_title,sector,company,country,closing_date
Employer,JIANGXI CONSTRUCTION INTERNATIONAL ENGINEERING (MAURITIUS) CO LTD,Economic Sector,Construction,State / Province
Civil Engineer,Construction,METASIGN COMPANY LTD,Mauritius,31/08/2024
Employer,METASIGN COMPANY LTD,Economic Sector,Construction,District in Mauritius
Site Supervisor,Construction,METASIGN COMPANY LTD,Mauritius,31/08/2024
Employer,METASIGN COMPANY LTD,Economic Sector,Construction,District in Mauritius
Waterproofing applicator,Construction,SPECIALITY COATINGS LIMITED,Mauritius,15/10/2024
Employer,SPECIALITY COATINGS LIMITED,Economic Sector,Construction,District in Mauritius
Carpenter,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Cabinet Maker/Menuisier,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Painter,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
"Varnisher, Furniture",Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Foreman,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
False Ceiling Maker / Fixer,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
"Technician, General",Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
M & E Coordinator,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Mason,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Tile Setter/Marble Layer,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Welder,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Multi-Skilled Tradesman (Building Construction),Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
"Cook, General",Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
"Plumber and Pipe Fitter, General",Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
"Electrician, General",Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
"Driver, Truck/Goods Vehicle/Chauffeur Poid-Lourd",Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Welder,Construction,METASIGN COMPANY LTD,Mauritius,31/12/2024
Employer,METASIGN COMPANY LTD,Economic Sector,Construction,District in Mauritius
Mason,Construction,METASIGN COMPANY LTD,Mauritius,31/12/2024
Employer,METASIGN COMPANY LTD,Economic Sector,Construction,District in Mauritius
